"Supplied Name","guid","scientificName","family","kingdom","Taxon Id","Kingdom2","Class","Family2","scientificNameAuthorship","vernacular name"
"Hypochrysops apollo apollo","urn:lsid:biodiversity.org.au:afd.taxon:87fc73f8-9d6b-4707-b045-205b2ee24bba","Hypochrysops apollo apollo","Lycaenidae",,"18","animals","insects","Lycaenidae","Miskin, 1891","Apollo jewel (Wet Tropics subspecies)"
"Cycas desolata","https://id.biodiversity.org.au/node/apni/2904097","Cycas desolata","Cycadaceae",,"6326","plants","Equisetopsida","Cycadaceae","P.I.Forst.",
"Dendrobium 'Mauna Kea'","ALA_Dendrobium_Mauna_Kea","Dendrobium 'Mauna Kea'",,,"38443","plants","Equisetopsida","Orchidaceae",,
"Rhipidorchis micrantha","https://id.biodiversity.org.au/name/apni/189058","Rhipidorchis micrantha","Orchidaceae",,"30796","plants","Equisetopsida","Orchidaceae","(A.Rich.) D.L.Jones & M.A.Clem.",
"Cestichis nugentiae","https://id.biodiversity.org.au/name/apni/196165","Cestichis nugentiae","Orchidaceae",,"36442","plants","Equisetopsida","Orchidaceae","(F.M.Bailey) M.A.Clem. & D.L.Jones",
"Bulbophyllum weinthalii subsp. weinthalii","https://id.biodiversity.org.au/name/apni/177009","Bulbophyllum weinthalii subsp. weinthalii","Orchidaceae",,"26724","plants","Equisetopsida","Orchidaceae","R.S.Rogers",
"Dryopteris sparsa","https://id.biodiversity.org.au/node/apni/2891150","Dryopteris sparsa","Dryopteridaceae",,"12039","plants","Equisetopsida","Dryopteridaceae","(Buch.-Ham. ex D.Don) Kuntze",
"Pachystoma pubescens","https://id.biodiversity.org.au/name/apni/109831","Pachystoma pubescens","Orchidaceae",,"8553","plants","Equisetopsida","Orchidaceae","Blume",
"Dendrobium canaliculatum","https://id.biodiversity.org.au/name/apni/85247","Dendrobium canaliculatum","Orchidaceae",,"17449","plants","Equisetopsida","Orchidaceae","R.Br.",
"Flickingeria clementsii","https://id.biodiversity.org.au/name/apni/189023","Flickingeria clementsii","Orchidaceae",,"30811","plants","Equisetopsida","Orchidaceae","D.L.Jones",
"Pachystoma",,,,,"21210","plants","Equisetopsida","Orchidaceae",,
"Dendrobium speciosum var. nitidum","https://id.biodiversity.org.au/name/apni/86507","Dendrobium speciosum var. nitidum","Orchidaceae",,"40382","plants","Equisetopsida","Orchidaceae",,
"Dendrobium bigibbum","https://id.biodiversity.org.au/node/apni/2903549","Vappodes bigibba","Orchidaceae",,"13977","plants","Equisetopsida","Orchidaceae","Lindl.",
"Dendrobium gracilicaule","https://id.biodiversity.org.au/name/apni/85615","Dendrobium gracilicaule","Orchidaceae",,"12834","plants","Equisetopsida","Orchidaceae","F.Muell.","slender orchid"
"Phlegmariurus filiformis","https://id.biodiversity.org.au/node/apni/2896005","Phlegmariurus filiformis","Lycopodiaceae",,"34749","plants","Equisetopsida","Lycopodiaceae","(Sw.) W.H.Wagner",
