"Supplied Name","guid","scientificName","family","kingdom","family2","genus","order","taxonRank","class"
"Atriplex hollowayi de Lange & D.A.Norton","NZOR-6-19619","Atriplex hollowayi","Chenopodiaceae",,"Amaranthaceae","Atriplex","Caryophyllales","species","Magnoliopsida"
"Kirkianella novae-zelandiae (Hook.f.) Allan","NZOR-6-5014","Sonchus novae-zelandiae","Asteraceae",,"Compositae","Kirkianella","Asterales","species","Magnoliopsida"
"Dryopteris gongylodes var. glabra (Mett.) Domin","https://id.biodiversity.org.au/name/apni/57856","Dryopteris gongylodes var. glabra","Dryopteridaceae",,"Thelypteridaceae","Cyclosorus","Polypodiales","variety","Polypodiopsida"
"Carmichaelia hollowayi G.Simpson","NZOR-6-6068","Carmichaelia hollowayi","Fabaceae",,"Leguminosae","Carmichaelia","Fabales","species","Magnoliopsida"
"Cladium complanatum Berggr.","NZOR-6-36582","Machaerina complanata","Cyperaceae",,"Cyperaceae","Machaerina","Poales","species","Magnoliopsida"
"Pimelea orthia subsp. protea C.J.Burrows & Thorsen","NZOR-6-133862","Pimelea orthia subsp. protea","Thymelaeaceae",,"Thymelaeaceae","Pimelea","Malvales","subspecies","Magnoliopsida"
"Heliohebe acuta Garn.-Jones","NZOR-6-22730","Veronica scrupea","Plantaginaceae",,"Scrophulariaceae","Heliohebe","Lamiales","species","Magnoliopsida"
"Agrostis sciurea R.Br.","https://id.biodiversity.org.au/node/apni/2909052","Dichelachne micrantha","Poaceae",,"Gramineae","Dichelachne","Poales","species","Magnoliopsida"
"Coprosma obconica Kirk","NZOR-6-42800","Coprosma obconica","Rubiaceae",,"Rubiaceae","Coprosma","Gentianales","species","Magnoliopsida"
"Acaena buchananii var. inermis Bitter","NZOR-6-22527","Acaena buchananii","Rosaceae",,"Rosaceae","Acaena","Rosales","variety","Magnoliopsida"
"Senecio hauwai Sykes","NZOR-6-25819","Senecio hauwai","Asteraceae",,"Compositae","Senecio","Asterales","species","Magnoliopsida"
"Myosotis glauca (G.Simpson & J.S.Thomson) de Lange & Barkla","NZOR-6-126761","Myosotis glauca","Boraginaceae",,"Boraginaceae","Myosotis",,"species","Magnoliopsida"
"Urtica incisa var. linearifolia Cheeseman","https://id.biodiversity.org.au/node/apni/2920322","Urtica incisa","Urticaceae",,"Urticaceae","Urtica","Rosales","variety","Magnoliopsida"
"Utricularia lateriflora sensu Webb & Sykes","NZOR-6-108796","Utricularia delicatula","Lentibulariaceae",,"Lentibulariaceae","Utricularia","Lamiales","species","Magnoliopsida"
"Thelymitra matthewsii Cheeseman","https://id.biodiversity.org.au/node/apni/2900535","Thelymitra matthewsii","Orchidaceae",,"Orchidaceae","Thelymitra","Asparagales","species","Magnoliopsida"
"Olearia adenocarpa Molloy & Heenan","https://id.biodiversity.org.au/name/apni/188997","Olearia adenocarpa","Asteraceae",,"Compositae","Olearia","Asterales","species","Magnoliopsida"
"Centrolepis strigosa (R.Br.) Roem. & Schult.","https://id.biodiversity.org.au/taxon/apni/51270485","Centrolepis strigosa","Centrolepidaceae",,"Centrolepidaceae","Centrolepis","Poales","species","Magnoliopsida"
"Plectomirtha baylisiana W.R.B.Oliv.","NZOR-6-105550","Pennantia baylisiana","Pennantiaceae",,"Pennantiaceae","Pennantia","Apiales","species","Magnoliopsida"
"Aira cespitosa L.","https://id.biodiversity.org.au/node/apni/2909801","Deschampsia cespitosa","Poaceae",,"Gramineae","Deschampsia","Poales","species","Magnoliopsida"
"Paspalum scrobiculatum sensu Cheeseman","https://id.biodiversity.org.au/node/apni/2897755","Paspalum scrobiculatum","Poaceae",,"Gramineae","Paspalum","Poales","species","Magnoliopsida"
"Olearia polita H.D.Wilson & Garn.-Jones","NZOR-6-39576","Olearia polita","Asteraceae",,"Compositae","Olearia","Asterales","species","Magnoliopsida"
"Myosotidium nobile (Hook.f.) Hook.","NZOR-6-33561","Myosotidium hortensia","Boraginaceae",,"Boraginaceae","Myosotidium",,"species","Magnoliopsida"
"Isolepis fluitans var. lenticularis (R.Br.) Muasya","https://id.biodiversity.org.au/node/apni/2897656","Isolepis fluitans","Cyperaceae",,"Cyperaceae","Isolepis","Poales","variety","Magnoliopsida"
"Parahebe jovellanoides (Garn.-Jones & de Lange) de Lange","NZOR-6-47803","Veronica jovellanoides","Plantaginaceae",,"Plantaginaceae","Parahebe","Lamiales","species","Magnoliopsida"
"Myosotis chaffeyorum C.A.Lehnebach","NZOR-6-69741","Myosotis chaffeyorum","Boraginaceae",,"Boraginaceae","Myosotis",,"species","Magnoliopsida"
"Anisotome rosaefolia (Hook.) Hook.f.","NZOR-6-10427","Scandia rosifolia","Umbelliferae",,"Umbelliferae","Scandia","Apiales","species","Magnoliopsida"
"Isolepis giraudyi Steud.","https://id.biodiversity.org.au/node/apni/2897656","Isolepis fluitans","Cyperaceae",,"Cyperaceae","Isolepis","Poales","species","Magnoliopsida"
"Leptospermum scoparium var. incanum Cockayne","NZOR-6-72144","Leptospermum scoparium var. incanum","Myrtaceae",,"Myrtaceae","Leptospermum","Myrtales","variety","Magnoliopsida"
"Geranium pilosum G.Forst","https://id.biodiversity.org.au/node/apni/7387836","Geranium solanderi","Geraniaceae",,"Geraniaceae","Geranium","Geraniales","species","Magnoliopsida"
"Cotula dioica var. rotundata Cheeseman","NZOR-6-93519","Leptinella rotundata","Asteraceae",,"Compositae","Leptinella","Asterales","variety","Magnoliopsida"
"Senecio hispidulus var. scaberulus (Hook.f) Belcher","NZOR-6-103686","Senecio scaberulus","Asteraceae",,"Compositae","Senecio","Asterales","variety","Magnoliopsida"
"Ischnocarpus novae-zelandiae (Hook.f.) O.E.Schulz","NZOR-6-108118","Pachycladon cheesemanii","Brassicaceae",,"Cruciferae","Pachycladon","Brassicales","species","Magnoliopsida"
"Loranthus punctatus Colenso","NZOR-6-73116","Peraxilla tetrapetala","Loranthaceae",,"Loranthaceae","Peraxilla","Santalales","species","Magnoliopsida"
"Loranthus decussatus Kirk","NZOR-6-73116","Peraxilla tetrapetala","Loranthaceae",,"Loranthaceae","Peraxilla","Santalales","species","Magnoliopsida"
